amount,cost,ratio,duration,city,country,score
337.0,16.85,0.05,61,Magelang,Indonesia,0.334867504993
156.08,7.8,0.0499743721169,7,NewDormaaSunyani,Ghana,0.778685681732
200.15,10.01,0.050012490632,35,Berekum,kato,0.568579962053
368.5,18.43,0.050013568521,11,Berekum,Ghana,0
185.75,9.29,0.0500134589502,9,Esuakyir,Ghana,0.702399886176
1345.99,232.8,0.17295819434,27,RongaiTown,Kenya,0.6178631122
1326.79,256.86,0.193595067795,24,Wendo,Kenya,0.739821527124
383.01,19.15,0.0499986945511,3,Nairobi,Kenya,0.605539993113
200.15,10.01,0.050012490632,61,Ejura,Ghana,0.639382395947
202.0,10.1,0.05,5,Nairobi,Kenya,0.598147168747
193.0,91.0,0.471502590674,1,Kolanya,Kenya,0
183.0,9.15,0.05,14,Mombassa,Kenya,0.609581548588
100.16,5.67,0.0566094249201,4,Mombasa,Kenya,0.693680734777
219.24,10.96,0.0499908775771,7,Nairobi,Kenya,0.552412506988
179.04,8.95,0.0499888293119,9,BoboDioulasso,BurkinaFaso,0.673233871397
